Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.519230,2.571153,2.501923,2.538461,2.247081,870480
2012-01-03,2.538461,2.669230,2.538461,2.576923,2.281128,3547960
2012-01-04,2.557692,2.576923,2.500000,2.576923,2.281128,4018040
2012-01-05,2.596153,2.673076,2.538461,2.557692,2.264105,2373800
2012-01-06,2.565384,2.565384,2.503846,2.548076,2.255592,783120
2012-01-09,2.576923,2.594230,2.509615,2.557692,2.264105,1236040
2012-01-10,2.576923,2.576923,2.530769,2.538461,2.247081,6761560
2012-01-11,2.530769,2.557692,2.521153,2.538461,2.247081,2819960
2012-01-12,2.598076,2.613461,2.501923,2.519230,2.230057,8926840
2012-01-13,2.515384,2.611538,2.515384,2.557692,2.264105,12729600
2012-01-16,2.557692,2.653846,2.557692,2.596153,2.298151,1257360
2012-01-17,2.601923,2.615384,2.561538,2.567307,2.272616,4790760
2012-01-18,2.576923,2.644230,2.559615,2.611538,2.311770,3994120
2012-01-19,2.615384,2.615384,2.576923,2.596153,2.298151,12925640
2012-01-20,2.623076,2.709615,2.598076,2.682692,2.374756,5736640
2012-01-23,2.675000,2.711538,2.663461,2.682692,2.374756,3439800
2012-01-24,2.665384,2.730769,2.665384,2.692307,2.383268,3802240
2012-01-26,2.692307,2.769230,2.692307,2.740384,2.425826,5894200
2012-01-27,2.759615,2.815384,2.732692,2.788461,2.468384,6539000
2012-01-30,2.767307,2.794230,2.728846,2.769230,2.451361,5261360
2012-01-31,2.769230,2.817307,2.732692,2.788461,2.468384,9810840
2012-02-01,2.807692,2.865384,2.788461,2.840384,2.514348,10563800
2012-02-02,2.875000,2.875000,2.800000,2.863461,2.534775,4650360
2012-02-03,2.859615,2.923076,2.846153,2.923076,2.587548,3334760
2012-02-06,2.900000,3.001923,2.836538,2.875000,2.544990,5047120
2012-02-07,2.861538,2.923076,2.848076,2.855769,2.527967,1703520
2012-02-08,2.855769,2.894230,2.836538,2.865384,2.536479,3725280
2012-02-09,2.882692,2.919230,2.865384,2.907692,2.573929,5998200
2012-02-10,2.830769,2.932692,2.830769,2.884615,2.553503,2889120
2012-02-13,2.905769,2.938461,2.884615,2.894230,2.562013,1671280
2012-02-14,2.901923,2.921153,2.884615,2.884615,2.553503,1363960
2012-02-15,2.901923,2.957692,2.901923,2.917307,2.582440,3765320
2012-02-16,2.915384,3.025000,2.915384,2.988461,2.645428,5837000
2012-02-17,3.000000,3.034615,2.986538,3.009615,2.664153,4836000
2012-02-23,3.015384,3.113461,3.000000,3.088461,2.733948,3659760
2012-02-24,3.100000,3.140384,3.086538,3.109615,2.752674,4397640
2012-02-27,3.123076,3.184615,3.069230,3.125000,2.766294,3274440
2012-02-28,3.142307,3.300000,3.138461,3.211538,2.842899,4852640
2012-02-29,3.198076,3.223076,3.134615,3.215384,2.846303,14967680
2012-03-01,3.215384,3.225000,3.126923,3.201923,2.834387,4816240
2012-03-02,3.201923,3.240384,3.192307,3.240384,2.868433,7295600
2012-03-05,3.238461,3.238461,3.173076,3.228846,2.858220,6701760
2012-03-06,3.176923,3.205769,3.092307,3.134615,2.774805,8564920
2012-03-07,3.163461,3.201923,3.138461,3.169230,2.805447,5043480
2012-03-08,3.176923,3.242307,3.176923,3.198076,2.830981,2680600
2012-03-09,3.226923,3.263461,3.213461,3.240384,2.868433,4860440
2012-03-12,3.217307,3.303846,3.217307,3.284615,2.907587,5586360
2012-03-13,3.307692,3.344230,3.253846,3.325000,2.943337,3853720
2012-03-14,3.300000,3.334615,3.226923,3.267307,2.892266,4696640
2012-03-15,3.234615,3.286538,3.173076,3.263461,2.888861,3094000
2012-03-16,3.275000,3.286538,3.173076,3.173076,2.808851,6597760
2012-03-19,3.173076,3.173076,3.173076,3.173076,2.808851,0
2012-03-20,3.267307,3.286538,3.232692,3.269230,2.893968,1951040
2012-03-21,3.267307,3.371153,3.253846,3.326923,2.945039,4336800
2012-03-22,3.267307,3.371153,3.253846,3.326923,2.976019,4336800
2012-03-23,3.288461,3.323076,3.230769,3.240384,2.898608,2490280
2012-03-26,3.269230,3.396153,3.230769,3.384615,3.027626,6948760
2012-03-27,3.376923,3.442307,3.376923,3.413461,3.053429,6781840
2012-03-28,3.417307,3.423076,3.365384,3.394230,3.036226,5218200
2012-03-29,3.392307,3.392307,3.315384,3.346153,2.993220,4737720
2012-03-30,3.375000,3.426923,3.346153,3.413461,3.053429,4878640
2012-04-02,3.421153,3.525000,3.411538,3.500000,3.130841,5708560
2012-04-03,3.525000,3.532692,3.436538,3.475000,3.108477,3752320
2012-04-04,3.461538,3.500000,3.413461,3.442307,3.079232,5403320
2012-04-05,3.459615,3.480769,3.432692,3.461538,3.096436,2825680
2012-04-09,3.459615,3.459615,3.384615,3.384615,3.027626,1415440
2012-04-10,3.388461,3.423076,3.375000,3.375000,3.019025,3107520
2012-04-11,3.415384,3.415384,3.365384,3.365384,3.010423,2973880
2012-04-12,3.394230,3.555769,3.371153,3.500000,3.130841,14303120
2012-04-13,3.526923,3.576923,3.476923,3.576923,3.199650,9046440
2012-04-16,3.567307,3.648076,3.557692,3.634615,3.251257,8600800
2012-04-17,3.640384,3.728846,3.557692,3.557692,3.182448,10075000
2012-04-18,3.536538,3.744230,3.528846,3.744230,3.349311,10042760
2012-04-19,3.744230,3.846153,3.680769,3.846153,3.440482,15828280
2012-04-20,3.855769,3.903846,3.755769,3.903846,3.492091,5008120
2012-04-23,3.880769,3.903846,3.771153,3.894230,3.483489,15152280
2012-04-24,3.867307,3.884615,3.798076,3.846153,3.440482,7178080
2012-04-25,3.828846,3.875000,3.813461,3.865384,3.457686,4689360
2012-04-26,3.853846,3.884615,3.826923,3.884615,3.474889,8320000
2012-04-27,3.855769,4.001923,3.828846,3.961538,3.543698,3553680
2012-04-30,3.976923,4.032692,3.901923,3.950000,3.533377,3517280
2012-05-02,3.976923,4.032692,3.901923,3.950000,3.533377,3517280
2012-05-03,4.023076,4.082692,3.980769,4.038461,3.612509,7964320
2012-05-04,4.076923,4.076923,3.923076,3.923076,3.509293,3955120
2012-05-07,3.923076,3.951923,3.846153,3.846153,3.440482,6819280
2012-05-08,3.919230,3.919230,3.805769,3.857692,3.450806,18652400
2012-05-09,3.871153,4.119230,3.846153,4.019230,3.595305,5086120
2012-05-10,4.094230,4.094230,4.036538,4.073076,3.643471,2730000
2012-05-11,4.073076,4.084615,3.944230,3.944230,3.528215,5387720
2012-05-14,3.926923,3.926923,3.759615,3.823076,3.419840,21030880
2012-05-15,3.825000,3.826923,3.753846,3.778846,3.380275,19921200
2012-05-16,3.780769,3.826923,3.659615,3.730769,3.337270,14786200
2012-05-17,3.728846,3.788461,3.557692,3.557692,3.182448,6916520
2012-05-18,3.559615,3.653846,3.559615,3.615384,3.234056,9575800
2012-05-21,3.615384,3.615384,3.615384,3.615384,3.234056,0
2012-05-22,3.690384,3.692307,3.553846,3.657692,3.271900,6716320
2012-05-23,3.690384,3.690384,3.453846,3.513461,3.142882,7426640
2012-05-24,3.517307,3.528846,3.490384,3.517307,3.146322,8193120
2012-05-25,3.515384,3.557692,3.461538,3.528846,3.156644,8409960
2012-05-28,3.538461,3.628846,3.536538,3.584615,3.206532,1136200
2012-05-29,3.586538,3.586538,3.530769,3.546153,3.172126,9053720
2012-05-30,3.546153,3.555769,3.482692,3.528846,3.156644,17485520
2012-05-31,3.528846,3.586538,3.492307,3.586538,3.208252,32259240
2012-06-01,3.550000,3.586538,3.486538,3.486538,3.118798,9780680
2012-06-04,3.467307,3.625000,3.467307,3.605769,3.225453,6066320
2012-06-05,3.598076,3.669230,3.553846,3.669230,3.282221,7102160
2012-06-06,3.678846,3.719230,3.607692,3.701923,3.311466,6849960
2012-06-08,3.713461,3.788461,3.657692,3.750000,3.354473,7785960
2012-06-11,3.784615,3.811538,3.692307,3.750000,3.354473,6195800
2012-06-12,3.730769,3.825000,3.640384,3.750000,3.354473,9291360
2012-06-13,3.696153,3.778846,3.692307,3.750000,3.354473,3191240
2012-06-14,3.798076,3.836538,3.653846,3.653846,3.268459,5636280
2012-06-15,3.653846,3.740384,3.576923,3.740384,3.345871,28397720
2012-06-18,3.740384,3.740384,3.740384,3.740384,3.345871,0
2012-06-19,3.805769,3.846153,3.773076,3.807692,3.406080,5932680
2012-06-20,3.807692,3.894230,3.769230,3.892307,3.481770,5285800
2012-06-21,3.892307,3.938461,3.832692,3.846153,3.440482,4278040
2012-06-22,3.823076,3.894230,3.819230,3.875000,3.476021,2041520
2012-06-25,3.846153,3.871153,3.775000,3.800000,3.408742,2477800
2012-06-26,3.798076,3.884615,3.798076,3.846153,3.450142,6546800
2012-06-27,3.882692,3.919230,3.855769,3.869230,3.470844,3896360
2012-06-28,3.865384,3.901923,3.771153,3.817307,3.424267,3510520
2012-06-29,3.880769,3.903846,3.825000,3.894230,3.493269,7384520
2012-07-02,3.886538,3.917307,3.798076,3.838461,3.443243,4061720
2012-07-03,3.848076,4.013461,3.784615,3.978846,3.569173,8006440
2012-07-04,3.971153,4.076923,3.936538,4.048076,3.631274,4034160
2012-07-05,4.048076,4.303846,4.038461,4.228846,3.793432,11928800
2012-07-06,4.223076,4.257692,4.061538,4.192307,3.760658,3859440
2012-07-10,4.176923,4.213461,4.078846,4.173076,3.743405,6147440
2012-07-11,4.173076,4.365384,4.173076,4.301923,3.858984,4903600
2012-07-12,4.223076,4.265384,4.130769,4.178846,3.748580,5219240
2012-07-13,4.178846,4.267307,4.178846,4.200000,3.767557,2369640
2012-07-16,4.200000,4.200000,4.200000,4.200000,3.767557,0
2012-07-17,4.384615,4.519230,4.326923,4.519230,4.053918,4979000
2012-07-18,4.476923,4.476923,4.342307,4.355769,3.907288,5015400
2012-07-19,4.355769,4.384615,4.250000,4.278846,3.838284,4394000
2012-07-20,4.278846,4.336538,4.201923,4.284615,3.843460,2551640
2012-07-23,4.278846,4.282692,4.182692,4.230769,3.795158,2862600
2012-07-24,4.230769,4.284615,4.198076,4.284615,3.843460,5556200
2012-07-25,4.326923,4.486538,4.317307,4.438461,3.981464,5403840
2012-07-26,4.450000,4.515384,4.423076,4.490384,4.028043,2566720
2012-07-27,4.519230,4.561538,4.480769,4.519230,4.053918,2752880
2012-07-30,4.519230,4.588461,4.505769,4.573076,4.102221,3715400
2012-07-31,4.573076,4.615384,4.292307,4.500000,4.036668,8092760
2012-08-01,4.444230,4.500000,4.365384,4.365384,3.915912,3003000
2012-08-02,4.365384,4.430769,4.303846,4.423076,3.967664,4077840
2012-08-03,4.430769,4.517307,4.430769,4.490384,4.028043,2587000
2012-08-06,4.438461,4.519230,4.438461,4.500000,4.036668,2333760
2012-08-07,4.542307,4.557692,4.363461,4.373076,3.922812,2409680
2012-08-08,4.423076,4.438461,4.359615,4.423076,3.967664,3093480
2012-08-09,4.459615,4.488461,4.386538,4.440384,3.983190,2213640
2012-08-10,4.459615,4.488461,4.386538,4.440384,3.983190,2213640
2012-08-13,4.305769,4.346153,4.251923,4.265384,3.826210,6585800
2012-08-14,4.232692,4.219230,4.134615,4.134615,3.708904,8125520
2012-08-15,4.188461,4.188461,4.019230,4.057692,3.639901,6368960
2012-08-16,4.098076,4.101923,3.925000,3.976923,3.567449,7283120
2012-08-17,3.990384,4.007692,3.951923,3.980769,3.570899,5510440
2012-08-20,4.007692,4.071153,3.963461,3.980769,3.570899,4189640
2012-08-21,3.980769,4.019230,3.851923,3.884615,3.484644,8054280
2012-08-22,3.884615,4.038461,3.876923,3.980769,3.570899,10151440
2012-08-23,3.990384,3.990384,3.869230,3.942307,3.536397,3755960
2012-08-24,3.996153,3.996153,3.884615,3.884615,3.484644,8362640
2012-08-27,3.907692,3.942307,3.865384,3.925000,3.520871,4360200
2012-08-28,3.942307,4.134615,3.932692,4.086538,3.665777,7824960
2012-08-29,4.088461,4.173076,4.088461,4.157692,3.729605,6909240
2012-08-30,4.159615,4.228846,4.134615,4.211538,3.777907,9752080
2012-08-31,4.217307,4.257692,4.090384,4.153846,3.726155,11259560
2012-09-03,4.080769,4.257692,4.080769,4.188461,3.757205,4096040
2012-09-04,4.182692,4.251923,4.182692,4.250000,3.812407,3072160
2012-09-05,4.259615,4.257692,4.080769,4.230769,3.795158,3154320
2012-09-06,4.255769,4.413461,4.221153,4.346153,3.898661,6935760
2012-09-10,4.394230,4.423076,4.242307,4.250000,3.812407,4232800
2012-09-11,4.298076,4.361538,4.250000,4.317307,3.872787,4542200
2012-09-12,4.336538,4.373076,4.226923,4.230769,3.795158,3768960
2012-09-13,4.313461,4.317307,4.182692,4.211538,3.777907,7195240
