cod_ibge,ano,rede,nivel_escolar,tx_aprovacao,tx_reprovacao,tx_abandono
3500105,2019,Privada,Fundamental - anos iniciais,"99,5","0,5",0
3500105,2019,Pública,Fundamental - anos iniciais,"98,4","1,5","0,1"
3500204,2019,Pública,Fundamental - anos iniciais,"95,7","4,3",0
3500303,2019,Privada,Fundamental - anos iniciais,"98,9","1,1",0
3500303,2019,Pública,Fundamental - anos iniciais,"96,2","3,8",0
3500402,2019,Pública,Fundamental - anos iniciais,"95,6","4,4",0
3500501,2019,Privada,Fundamental - anos iniciais,100,0,0
3500501,2019,Pública,Fundamental - anos iniciais,"92,5","7,5",0
3500550,2019,Pública,Fundamental - anos iniciais,98,2,0
3500600,2019,Pública,Fundamental - anos iniciais,"96,1","3,9",0
3500709,2019,Privada,Fundamental - anos iniciais,"98,1","1,9",0
3500709,2019,Pública,Fundamental - anos iniciais,"97,6","2,4",0
3500758,2019,Pública,Fundamental - anos iniciais,"94,1","5,7","0,2"
3500808,2019,Pública,Fundamental - anos iniciais,"97,7","2,3",0
3500907,2019,Pública,Fundamental - anos iniciais,100,0,0
3501004,2019,Privada,Fundamental - anos iniciais,100,0,0
3501004,2019,Pública,Fundamental - anos iniciais,"99,1","0,9",0
3501103,2019,Pública,Fundamental - anos iniciais,100,0,0
3501152,2019,Privada,Fundamental - anos iniciais,100,0,0
3501152,2019,Pública,Fundamental - anos iniciais,"98,9","1,1",0
3501202,2019,Pública,Fundamental - anos iniciais,"96,3","3,7",0
3501301,2019,Privada,Fundamental - anos iniciais,"99,6","0,4",0
3501301,2019,Pública,Fundamental - anos iniciais,"94,1","5,8","0,1"
3501400,2019,Pública,Fundamental - anos iniciais,100,0,0
3501509,2019,Pública,Fundamental - anos iniciais,"99,6","0,4",0
3501608,2019,Privada,Fundamental - anos iniciais,"99,4","0,6",0
3501608,2019,Pública,Fundamental - anos iniciais,"98,4","1,6",0
3501707,2019,Privada,Fundamental - anos iniciais,100,0,0
3501707,2019,Pública,Fundamental - anos iniciais,"98,4","1,6",0
3501806,2019,Pública,Fundamental - anos iniciais,"97,7","2,3",0
3501905,2019,Privada,Fundamental - anos iniciais,"99,5","0,5",0
3501905,2019,Pública,Fundamental - anos iniciais,"97,5","2,5",0
3502002,2019,Pública,Fundamental - anos iniciais,"96,2","3,8",0
3502101,2019,Privada,Fundamental - anos iniciais,"99,5","0,5",0
3502101,2019,Pública,Fundamental - anos iniciais,"97,8","2,2",0
3502200,2019,Privada,Fundamental - anos iniciais,100,0,0
3502200,2019,Pública,Fundamental - anos iniciais,"96,6","3,4",0
3502309,2019,Pública,Fundamental - anos iniciais,"99,1","0,9",0
3502408,2019,Pública,Fundamental - anos iniciais,"99,6","0,4",0
3502507,2019,Privada,Fundamental - anos iniciais,"99,4","0,6",0
3502507,2019,Pública,Fundamental - anos iniciais,"95,9","3,9","0,2"
3502606,2019,Pública,Fundamental - anos iniciais,"98,7","1,3",0
3502705,2019,Privada,Fundamental - anos iniciais,100,0,0
3502705,2019,Pública,Fundamental - anos iniciais,"98,6","1,4",0
3502754,2019,Privada,Fundamental - anos iniciais,"99,3","0,7",0
3502754,2019,Pública,Fundamental - anos iniciais,"94,2","5,8",0
3502804,2019,Privada,Fundamental - anos iniciais,"99,3","0,7",0
3502804,2019,Pública,Fundamental - anos iniciais,97,3,0
3502903,2019,Privada,Fundamental - anos iniciais,100,0,0
3502903,2019,Pública,Fundamental - anos iniciais,"98,7","1,2","0,1"
3503000,2019,Pública,Fundamental - anos iniciais,"94,9","5,1",0
3503109,2019,Pública,Fundamental - anos iniciais,"99,8","0,2",0
3503158,2019,Pública,Fundamental - anos iniciais,"90,4","9,6",0
3503208,2019,Privada,Fundamental - anos iniciais,"99,8","0,2",0
3503208,2019,Pública,Fundamental - anos iniciais,"99,2","0,7","0,1"
3503307,2019,Privada,Fundamental - anos iniciais,"99,7","0,3",0
3503307,2019,Pública,Fundamental - anos iniciais,"98,6","1,3","0,1"
3503356,2019,Pública,Fundamental - anos iniciais,100,0,0
3503406,2019,Pública,Fundamental - anos iniciais,100,0,0
3503505,2019,Pública,Fundamental - anos iniciais,"98,8","0,8","0,4"
3503604,2019,Pública,Fundamental - anos iniciais,"97,5","2,5",0
3503703,2019,Pública,Fundamental - anos iniciais,"98,3","1,7",0
3503802,2019,Privada,Fundamental - anos iniciais,"99,7","0,3",0
3503802,2019,Pública,Fundamental - anos iniciais,"96,5","3,5",0
3503901,2019,Privada,Fundamental - anos iniciais,100,0,0
3503901,2019,Pública,Fundamental - anos iniciais,"98,8","1,1","0,1"
3503950,2019,Pública,Fundamental - anos iniciais,"98,3","1,7",0
3504008,2019,Privada,Fundamental - anos iniciais,"99,7","0,3",0
3504008,2019,Pública,Fundamental - anos iniciais,"98,1","1,9",0
3504107,2019,Privada,Fundamental - anos iniciais,"99,2","0,8",0
3504107,2019,Pública,Fundamental - anos iniciais,100,0,0
3504206,2019,Privada,Fundamental - anos iniciais,100,0,0
3504206,2019,Pública,Fundamental - anos iniciais,100,0,0
3504305,2019,Pública,Fundamental - anos iniciais,"99,7","0,3",0
3504404,2019,Privada,Fundamental - anos iniciais,"99,1","0,9",0
3504404,2019,Pública,Fundamental - anos iniciais,"94,2","5,8",0
3504503,2019,Privada,Fundamental - anos iniciais,"99,3","0,7",0
3504503,2019,Pública,Fundamental - anos iniciais,98,"1,9","0,1"
3504602,2019,Privada,Fundamental - anos iniciais,100,0,0
3504602,2019,Pública,Fundamental - anos iniciais,"95,8","4,2",0
3504701,2019,Pública,Fundamental - anos iniciais,99,1,0
3504800,2019,Pública,Fundamental - anos iniciais,100,0,0
3504909,2019,Pública,Fundamental - anos iniciais,"97,5","2,5",0
3505005,2019,Pública,Fundamental - anos iniciais,100,0,0
3505104,2019,Pública,Fundamental - anos iniciais,"99,3","0,7",0
3505203,2019,Privada,Fundamental - anos iniciais,"99,7","0,3",0
3505203,2019,Pública,Fundamental - anos iniciais,"99,1","0,9",0
3505302,2019,Privada,Fundamental - anos iniciais,"98,9","1,1",0
3505302,2019,Pública,Fundamental - anos iniciais,100,0,0
3505351,2019,Pública,Fundamental - anos iniciais,100,0,0
