Sigla da UF,Rede,TX_Apro,Indicador de Rendimento (P),SAEB_M,SAEB_P,Nota Média Padronizada (N),"IDEB
2021
(N x P)"
,,,,,,,
,,,,,,,
SG_UF,REDE,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2021
RO,Municipal,100.0,1.00,ND,ND,-,-
RO,Estadual,-,-,-,-,-,-
RO,Municipal,98.7,0.99,ND,ND,-,-
RO,Municipal,-,-,-,-,-,-
RO,Estadual,96.8,0.97,258.05,272.48,5.51,5.3
RO,Municipal,-,-,-,-,-,-
RO,Municipal,-,-,-,-,-,-
RO,Municipal,-,-,-,-,-,-
RO,Municipal,99.1,0.99,254.43,255.49,5.17,5.1
RO,Municipal,88.2,0.88,224.97,237.50,4.37,3.8
RO,Estadual,-,-,-,-,-,-
RO,Estadual,92.6,0.94,247.14,244.83,4.87,4.6
RO,Estadual,99.9,1.00,258.11,255.03,5.22,5.2
RO,Estadual,99.8,1.00,271.38,267.90,5.65,5.6
RO,Municipal,91.8,0.92,ND,ND,-,-
RO,Estadual,97.7,0.98,256.10,253.98,5.17,5.0
RO,Municipal,82.3,0.83,ND,ND,-,-
RO,Municipal,-,-,-,-,-,-
RO,Estadual,98.9,0.99,245.98,250.70,4.94,4.9
RO,Municipal,97.9,0.98,ND,ND,-,-
RO,Estadual,97.4,0.98,ND,ND,-,-
RO,Municipal,98.8,0.99,269.33,257.50,5.45,5.4
RO,Municipal,100.0,1.00,254.36,233.42,4.80,4.8
RO,Municipal,-,-,-,-,-,-
RO,Municipal,-,-,-,-,-,-
RO,Estadual,100.0,1.00,267.24,271.96,5.65,5.7
RO,Municipal,-,-,-,-,-,-
RO,Municipal,86.6,0.86,ND,ND,-,-
RO,Municipal,-,-,-,-,-,-
RO,Municipal,99.1,0.99,244.10,240.81,4.75,4.7
RO,Estadual,-,-,-,-,-,-
RO,Estadual,-,-,-,-,-,-
RO,Municipal,-,-,-,-,-,-
RO,Municipal,-,-,-,-,-,-
RO,Estadual,95.2,0.95,248.56,254.43,5.05,4.8
RO,Estadual,87.4,0.87,ND,ND,-,-
RO,Estadual,100.0,1.00,260.67,254.39,5.25,5.3
RO,Estadual,98.5,0.98,253.78,261.44,5.25,5.1
RO,Estadual,99.7,1.00,251.65,245.80,4.96,4.9
RO,Municipal,100.0,1.00,ND,ND,-,-
RO,Estadual,100.0,1.00,225.56,230.12,4.26,4.3
RO,Estadual,95.9,0.96,ND,ND,-,-
RO,Estadual,100.0,1.00,244.86,228.25,4.55,4.6
RO,Municipal,100.0,1.00,242.47,254.95,4.96,5.0
RO,Estadual,-,-,-,-,-,-
RO,Municipal,100.0,1.00,252.40,227.05,4.66,4.7
RO,Municipal,99.0,0.99,243.95,238.59,4.71,4.7
RO,Estadual,99.7,1.00,256.67,260.20,5.28,5.3
RO,Estadual,99.7,1.00,251.54,255.98,5.13,5.1
RO,Estadual,99.6,0.99,257.74,251.70,5.16,5.1
RO,Estadual,-,-,-,-,-,-
RO,Municipal,100.0,1.00,254.38,251.22,5.09,5.1
